product_id,product_name_en,ingredient_id,ingredient_name_en,type,is_approved,review_notes
63b172e3-9a2c-55e2-923c-1be91cd2a1a9,Innisfree Green Tea Seed Hyaluronic Cream,03a8979c-50be-5050-8b17-71608e08831f,Green Tea Extract,key,TRUE,D-7 auto-reviewed
63b172e3-9a2c-55e2-923c-1be91cd2a1a9,Innisfree Green Tea Seed Hyaluronic Cream,6171b8d7-08e8-57fd-8e42-9edbf029bda4,Sodium Hyaluronate,key,TRUE,D-7 auto-reviewed
63b172e3-9a2c-55e2-923c-1be91cd2a1a9,Innisfree Green Tea Seed Hyaluronic Cream,cbaeb98e-c36e-51c9-b5c3-a9fec9793860,Camellia Seed Oil,key,TRUE,D-7 auto-reviewed
71a001ee-d4cf-5e7a-acea-004180630965,Laneige Water Sleeping Mask EX,6171b8d7-08e8-57fd-8e42-9edbf029bda4,Sodium Hyaluronate,key,TRUE,D-7 auto-reviewed
71a001ee-d4cf-5e7a-acea-004180630965,Laneige Water Sleeping Mask EX,28430301-3c39-561f-b166-88291c640461,Squalane,key,TRUE,D-7 auto-reviewed
71a001ee-d4cf-5e7a-acea-004180630965,Laneige Water Sleeping Mask EX,cbaeb98e-c36e-51c9-b5c3-a9fec9793860,Camellia Seed Oil,key,TRUE,D-7 auto-reviewed
71a001ee-d4cf-5e7a-acea-004180630965,Laneige Water Sleeping Mask EX,46f90f93-526b-5454-b49b-fcc3594f4efd,Isopropyl Myristate,avoid,TRUE,D-7 auto-reviewed
b90b6883-3b82-56cc-9051-df284207f4b0,COSRX Advanced Snail 92 All in One Cream,213a9da9-8b0b-5040-b382-b084f9a9939b,Snail Secretion Filtrate,key,TRUE,D-7 auto-reviewed
b90b6883-3b82-56cc-9051-df284207f4b0,COSRX Advanced Snail 92 All in One Cream,6171b8d7-08e8-57fd-8e42-9edbf029bda4,Sodium Hyaluronate,key,TRUE,D-7 auto-reviewed
b90b6883-3b82-56cc-9051-df284207f4b0,COSRX Advanced Snail 92 All in One Cream,06a04231-c65a-589c-9a35-55f97081e846,Adenosine,key,TRUE,D-7 auto-reviewed
b90b6883-3b82-56cc-9051-df284207f4b0,COSRX Advanced Snail 92 All in One Cream,46f90f93-526b-5454-b49b-fcc3594f4efd,Isopropyl Myristate,avoid,TRUE,D-7 auto-reviewed
fe8d801f-9660-5c12-acdd-94de0e54bae8,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,6171b8d7-08e8-57fd-8e42-9edbf029bda4,Sodium Hyaluronate,key,TRUE,D-7 auto-reviewed
fe8d801f-9660-5c12-acdd-94de0e54bae8,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,28430301-3c39-561f-b166-88291c640461,Squalane,key,TRUE,D-7 auto-reviewed
fe8d801f-9660-5c12-acdd-94de0e54bae8,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,1a4bfb83-a85d-5fc1-a330-baea2d1fb224,Panthenol,key,TRUE,D-7 auto-reviewed
fe8d801f-9660-5c12-acdd-94de0e54bae8,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,a47e65b7-647b-5f29-ae8d-a0682a762858,Ceramide NP,key,TRUE,D-7 auto-reviewed
fe8d801f-9660-5c12-acdd-94de0e54bae8,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,46f90f93-526b-5454-b49b-fcc3594f4efd,Isopropyl Myristate,avoid,TRUE,D-7 auto-reviewed
7b70e8ad-ddce-5223-a533-4ac9571d5708,Dr.G Red Blemish Clear Soothing Cream,f56d741c-2dfb-5eb0-b195-a7e11ea1ca77,Centella Asiatica Extract,key,TRUE,D-7 auto-reviewed
7b70e8ad-ddce-5223-a533-4ac9571d5708,Dr.G Red Blemish Clear Soothing Cream,5ac73685-6fc5-506c-acd8-f73f3497c23a,Niacinamide,key,TRUE,D-7 auto-reviewed
7b70e8ad-ddce-5223-a533-4ac9571d5708,Dr.G Red Blemish Clear Soothing Cream,dcaab478-9e74-5c69-8c64-74b89f866d8b,Madecassoside,key,TRUE,D-7 auto-reviewed
7b70e8ad-ddce-5223-a533-4ac9571d5708,Dr.G Red Blemish Clear Soothing Cream,1a4bfb83-a85d-5fc1-a330-baea2d1fb224,Panthenol,key,TRUE,D-7 auto-reviewed
7b70e8ad-ddce-5223-a533-4ac9571d5708,Dr.G Red Blemish Clear Soothing Cream,46f90f93-526b-5454-b49b-fcc3594f4efd,Isopropyl Myristate,avoid,TRUE,D-7 auto-reviewed
3ea01e93-f3e9-5c30-a520-ba8f9e326c3d,illiYOON Ceramide Ato Concentrate Cream,a47e65b7-647b-5f29-ae8d-a0682a762858,Ceramide NP,key,TRUE,D-7 auto-reviewed
3ea01e93-f3e9-5c30-a520-ba8f9e326c3d,illiYOON Ceramide Ato Concentrate Cream,28430301-3c39-561f-b166-88291c640461,Squalane,key,TRUE,D-7 auto-reviewed
3ea01e93-f3e9-5c30-a520-ba8f9e326c3d,illiYOON Ceramide Ato Concentrate Cream,4a3c7888-7091-523d-9540-3ec3682553ee,Glycerin,key,TRUE,D-7 auto-reviewed
3ea01e93-f3e9-5c30-a520-ba8f9e326c3d,illiYOON Ceramide Ato Concentrate Cream,1a4bfb83-a85d-5fc1-a330-baea2d1fb224,Panthenol,key,TRUE,D-7 auto-reviewed
